id,first_name,last_name,email,gender,year_level,major,CoreCourses_Sem1,CoreCourses_Sem2,Electivesminor_Sem1,Electivesminor_Sem2,CoreCourses_Summer
620132001,Beryl,Apdell,Beryl.Apdell@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","BIOC3013, PHYS2300","ELET2415, PHYS3341","SWEN3101,SWEN3145,SWEN3920"
620132002,Walliw,Cearley,Walliw.Cearley@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","ELET3211, GEOG2231, PHYS2300","COMP3192, ELET2420",COMP3901
620132003,Alisander,Lantaff,Alisander.Lantaff@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","PHYS1412, PHYS1411","GEOG1232, GEOG1132","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161"
620132004,Erin,Farrall,Erin.Farrall@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","COMP3191, MATH3401, BIOC2014, COMP3652",CHEM3010,
620132005,Gertrud,Wickie,Gertrud.Wickie@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","MATH1141, MICR1010, PHYS1411","MICR1010, PHYS1422, BIOC1020",
620132006,Charmion,Haddrill,Charmion.Haddrill@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","CHEM1901, ELET2405, BIOC2014, PHYS2300","GEOG2232, GEOG1232, PHYS1422","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620132007,Esteban,Trusslove,Esteban.Trusslove@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",CHEM2310,"BIOC1020, ELET2415, MATH1151",
620132008,Willamina,Maris,Willamina.Maris@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","GEOL3002, ELET2430, CHEM2402","COMP3162, GEOG3132",
620132009,Heinrick,Kalkofer,Heinrick.Kalkofer@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","GEOG2331, PHYS2300",GEOL1104,
620132010,Mar,Mabbot,Mar.Mabbot@mymona.uwi.edu,Male,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","PHYS1411, BIOC1020","PHYS1421, MICR1011, PHYS1422",
620132011,Jori,Greger,Jori.Greger@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","GEOG2231, GEOL1102, PHYS1412, GEOG1131","ELET2420, GEOL2203","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201"
620132012,Osbert,Cherry,Osbert.Cherry@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",BIOC1021,"GEOG1132, BIOC1020",
620132013,Maryellen,Bullcock,Maryellen.Bullcock@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","ELET2430, CHEM2402",CHEM2311,
620132014,Sammie,Rannells,Sammie.Rannells@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","GEOG1231, MATH2404, MATH2421, GEOL1101","ELET2410, GEOL1104",
620132015,Meredith,Arndtsen,Meredith.Arndtsen@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","PHYS2300, PHYS2386, COMP3801","CHEM2111, PHYS2200, GEOG3132, MATH3402",
620132016,Shannah,Braime,Shannah.Braime@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","CHEM2011, MATH3405, GEOG2131",GEOG3132,"SWEN3101,SWEN3145,SWEN3920"
620132017,Cornall,Queyos,Cornall.Queyos@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",MATH2404,"MATH2407, COMP3410, BIOL2312",COMP3901
620132018,Alejoa,Vautre,Alejoa.Vautre@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","CHEM3110, GEOG3331, CHEM2210, GEOG2131",GEOG2332,
620132019,Gerick,Hartnup,Gerick.Hartnup@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",GEOG1231,"ELET1400, PHYS1421","COMP1210,COMP1126,COMP1127,COMP1161"
620132020,Gayleen,Wolters,Gayleen.Wolters@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","MICR1011, CHEM1901, PHYS2386",COMP2802,"COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201"
620132021,Rabbi,Dearn,Rabbi.Dearn@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","COMP3912, PHYS2351, ELET3405, BIOC3013","CHEM3010, MATH2403",COMP3901
620132022,Louella,Dicky,Louella.Dicky@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","MICR1010, PHYS1412, MICR1011","GEOG2332, GEOL2203","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620132023,Maryellen,Vinall,Maryellen.Vinall@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","GEOG2131, MATH2421","COMP3410, CHEM2110, CHEM2111, PHYS2296",COMP3901
620132024,Farley,Fonso,Farley.Fonso@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","GEOG2131, MATH3401, CHEM2011","CHEM2111, BIOC3011",
620132025,Rochella,Cawley,Rochella.Cawley@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",GEOL1102,"GEOL1104, MICR1010","COMP1210,COMP1126,COMP1127,COMP1161"
620132026,Kevin,Kolakowski,Kevin.Kolakowski@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","PHYS2351, PHYS2386","PHYS2561, MATH2411, ELET2410, MICR1011","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620132027,Rupert,Carbry,Rupert.Carbry@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","CHEM2211, CHEM2011","CHEM2311, COMP2802, MATH2403",COMP3901
620132028,Erinna,Stringfellow,Erinna.Stringfellow@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","CHEM2010, COMP3191, PHYS2386","BIOL2312, BIOC3014",
620132029,Demetris,Shorto,Demetris.Shorto@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",CHEM1901,MICR1011,
620132030,Tonya,Speere,Tonya.Speere@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",ELET2405,"PHYS2200, MATH2403",
620132031,Carie,Huff,Carie.Huff@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",BIOC2014,"MATH2407, ELET2210, GEOL2201","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620132032,Brit,Klausewitz,Brit.Klausewitz@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",BIOC2014,BIOC3011,COMP3901
620132033,Delmore,Shelley,Delmore.Shelley@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",MATH1141,"BIOC1021, BIOC1020",
620132034,Lane,Christian,Lane.Christian@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","CHEM2310, BIOC3013",MATH3424,"SWEN3101,SWEN3145,SWEN3920"
620132035,Barb,Banister,Barb.Banister@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",CHEM2210,"BIOC3014, GEOG2332, CHEM2110, COMP2802",COMP3901
620132036,Jody,Antoniak,Jody.Antoniak@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",GEOG2231,CHEM2311,
620132037,Benito,Quidenham,Benito.Quidenham@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",GEOL1101,"BIOC1020, GEOL1104, MICR1010","COMP1210,COMP1126,COMP1127,COMP1161"
620132038,Collete,Echallier,Collete.Echallier@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","PHYS1412, GEOL1102, CHEM1901",MICR1011,"COMP1210,COMP1126,COMP1127,COMP1161"
